,F,N,Q,S,V,accuracy,macro avg,weighted avg
precision,0.9790431000395413,0.9862805649774717,0.9846329251970456,0.9740129433602569,0.9786188377159649,0.9805164883599792,0.9805176742580561,0.980521171457919
recall,0.9963782696177063,0.9741,0.9936468234117058,0.9721596314656251,0.9663781457947666,0.9805164883599792,0.9805325740579608,0.9805164883599792
f1-score,0.9876346230554447,0.980152441325183,0.9891193386948186,0.9730854049719326,0.9724599738193535,0.9805164883599792,0.9804903563733465,0.9804841009814601
support,19880.0,20000.0,19990.0,19971.0,19987.0,0.9805164883599792,99828.0,99828.0
