epoch,accuracy,loss
0,0.9287440776824951,0.22563156485557556
1,0.9601109027862549,0.12786687910556793
2,0.967781662940979,0.10399556159973145
3,0.9729681611061096,0.08944199979305267
4,0.9761812090873718,0.07917096465826035
5,0.9787732362747192,0.07118356227874756
6,0.9809394478797913,0.06461866945028305
7,0.9829279184341431,0.058982279151678085
8,0.9843979477882385,0.0541534498333931
9,0.9856751561164856,0.04998226463794708
